fact_id,cik,metric,concept,period_start,period_end,accession,filed,value,previous_value,change_amount,relative_change,source_sha,bronze_path
081e2b032f330a4de14d39e6774890a7cd0cf3fdd1769c86e5f0ad5705b4c429,900075,liabilities,Liabilities,,2015-07-31,0000900075-16-000081,2016-09-28,834196000.0000,835488000.0000,-1292000.0000,-0.0015464016239610861,820b593560ae7951965697b19422e43b05b3352f6f2b0d8900ec49d591810d0a,bronze/cik=900075/820b593560ae7951965697b19422e43b05b3352f6f2b0d8900ec49d591810d0a.json.gz
b4a81e1fe4f03cfd5661a34a2928ebde706bb5ec8a3b0a5a3f17f2fccb3b2bb5,1138118,current_liabilities,LiabilitiesCurrent,,2017-12-31,0001564590-19-005666,2019-03-01,4712944000.0000,4606645000.0000,106299000.0000,0.023075144709436043,193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56,bronze/cik=1138118/193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56.json.gz
1c3f9524e4f8d7ecce2f0f01ba668718d4fe3c5e2d16a8daf76b5c6808a4454f,1138118,equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,2022-12-31,0001138118-24-000006,2024-02-20,8606000000.0000,8605732000.0000,268000.0000,3.114203416978358e-05,193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56,bronze/cik=1138118/193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56.json.gz
9377e9b92d1bd808f09abdad7f1e36c5196a397b000f031a6fb282c1b8d0d952,97476,operating_income,OperatingIncomeLoss,2015-01-01,2015-12-31,0001564590-18-002832,2018-02-22,4322000000.0000,4274000000.0000,48000000.0000,0.011230697239120261,5ee95bf56949988a4beaf0598e3acb0a012867228760cd9462a1c9e72526446f,bronze/cik=97476/5ee95bf56949988a4beaf0598e3acb0a012867228760cd9462a1c9e72526446f.json.gz
4763d6ff4a205ab2e28763f56bb50ce0035a50a35686d81e09d5cd69474a3187,703351,assets,Assets,,2017-06-28,0000703351-18-000036,2018-08-27,1403633000.0000,1413700000.0000,-10067000.0000,-0.007121029921482634,0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088,bronze/cik=703351/0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088.json.gz
b3052c6e47958d1feb0c743bad156acac1eaa8bdebd3c70d6c5c771770ae76d3,703351,current_assets,AssetsCurrent,,2018-06-27,0000703351-19-000037,2019-08-22,156300000.0000,156284000.0000,16000.0000,0.00010237772260756059,0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088,bronze/cik=703351/0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088.json.gz
3daef82ef1b5d318271ae28112afdbba433ef30e9e6c173cdda0fb72b1ab79db,703351,net_income,NetIncomeLoss,2014-06-26,2015-06-24,0000703351-17-000030,2017-08-28,194659000.0000,196694000.0000,-2035000.0000,-0.010346019705735813,0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088,bronze/cik=703351/0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088.json.gz
8e3c97f26dfef011a3c431d5723ab5c1e45c0786b44b158928980f7e35d699ce,703351,operating_income,OperatingIncomeLoss,2016-06-30,2017-06-28,0000703351-19-000037,2019-08-22,256200000.0000,256178000.0000,22000.0000,8.58777881004614e-05,0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088,bronze/cik=703351/0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088.json.gz
2f5f25929893393fe3e07e284504c30b6831a70036cc90b8f9c5e8cf64fba661,1138118,equity,StockholdersEquity,,2017-12-31,0001564590-19-005666,2019-03-01,4114496000.0000,4019430000.0000,95066000.0000,0.023651612293285367,193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56,bronze/cik=1138118/193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56.json.gz
b70dd8e9a1e340372398f1d01806b3da8945da93682545ae4a24a7731532b5dc,1138118,equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,2021-12-31,0001138118-24-000006,2024-02-20,9359000000.0000,9359117000.0000,-117000.0000,-1.2501179331340767e-05,193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56,bronze/cik=1138118/193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56.json.gz
1fdcd46b621fee41aa41f439688a1a7bd6a9348335812b979a05e6d0a56f3664,1636222,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-01-01,2017-12-30,0001636222-19-000039,2019-02-27,27435000.0000,27049000.0000,386000.0000,0.014270398166290806,b06e063a6d131b5a898269149242bf8d588aca401bcbf127028a748238368766,bronze/cik=1636222/b06e063a6d131b5a898269149242bf8d588aca401bcbf127028a748238368766.json.gz
f7de00a6dd79ce8ea34f533abda378e161200062f3aa2d1b7b912c26e547d7da,1636222,net_income,NetIncomeLoss,2015-12-27,2016-12-31,0001636222-19-000039,2019-02-27,13769000.0000,15434000.0000,-1665000.0000,-0.10787870934300894,b06e063a6d131b5a898269149242bf8d588aca401bcbf127028a748238368766,bronze/cik=1636222/b06e063a6d131b5a898269149242bf8d588aca401bcbf127028a748238368766.json.gz
b138cc50005bd6958601b1eff6f249edcb8c80b7bfacb7ce5d9fa162b02729d0,703351,operating_income,OperatingIncomeLoss,2017-06-29,2018-06-27,0000703351-19-000037,2019-08-22,226100000.0000,226106000.0000,-6000.0000,-2.6536226371701767e-05,0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088,bronze/cik=703351/0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088.json.gz
69b5c8cd064f40b73219fd19bb3919d8271d0dec74b7c9ca4688a28531000697,703351,equity,StockholdersEquity,,2015-06-24,0000703351-17-000030,2017-08-28,-90812000.0000,-78460000.0000,-12352000.0000,-0.1574305378536834,0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088,bronze/cik=703351/0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088.json.gz
4e1f166793eb6e8216d75ed7622527bda2d40e874cf36a4459f4fd8310281165,703351,equity,StockholdersEquity,,2017-06-28,0000703351-19-000037,2019-08-22,-493600000.0000,-493681000.0000,81000.0000,0.000164073561672416,0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088,bronze/cik=703351/0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088.json.gz
6d7f3f1cde4e0f6504c544b81b5cc3964558115b0ee97cb7c5a992a510147515,1138118,equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,2016-12-31,0001564590-19-005666,2019-03-01,3145900000.0000,3057245000.0000,88655000.0000,0.0289983301959771,193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56,bronze/cik=1138118/193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56.json.gz
b275d78307c4085645f956bbe6a8bbfcbebae50aca36d125c9888c08379b8038,1636222,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2015-12-27,2016-12-31,0001636222-18-000015,2018-02-23,23329000.0000,22166000.0000,1163000.0000,0.05246774339077867,b06e063a6d131b5a898269149242bf8d588aca401bcbf127028a748238368766,bronze/cik=1636222/b06e063a6d131b5a898269149242bf8d588aca401bcbf127028a748238368766.json.gz
6e5bc48b9c462d751f4c4317cfab210ab73e4c9cc1149048dec57ec08e5f958d,1636222,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2015-12-27,2016-12-31,0001636222-19-000039,2019-02-27,21879000.0000,23329000.0000,-1450000.0000,-0.06215440010287625,b06e063a6d131b5a898269149242bf8d588aca401bcbf127028a748238368766,bronze/cik=1636222/b06e063a6d131b5a898269149242bf8d588aca401bcbf127028a748238368766.json.gz
