issuer_key,cik,name,ticker,sector,headquarters,valid_from
3d5af7f2de08ed048c0b80ed7df1151a7be1fb55242ba62e399dee3a3203e0cd,97476,TEXAS INSTRUMENTS INCORPORATED,TXN,Semiconductors,"Dallas, TX",2026-09-18 01:53:53.247129+09
df2b488bbb181d19ed629d4b20948bba9cd596a90a32e9ca7c0d4557a0327874,732717,AT&T INC.,T,Telecommunications,"Dallas, TX",2026-09-18 01:53:53.247129+09
985f77f409d200a07708cc0f1c135dc97dd30c46003c758b4684de69441f30fc,92380,SOUTHWEST AIRLINES CO.,LUV,Airlines,"Dallas, TX",2026-09-18 01:53:53.247129+09
c1f185e11512eec2fce588be3c2d2dbaa1654a0e4172496c4e2986b9bf972657,1138118,"CBRE GROUP, INC.",CBRE,Commercial real estate services,"Dallas, TX",2026-09-18 01:53:53.247129+09
13764cf1f0b41bf77fa516f1071d87f82362f760238bbccaf9c7c80b42400639,900075,"COPART, INC.",CPRT,Vehicle auctions,"Dallas, TX",2026-09-18 01:53:53.247129+09
8dcaec7fd5d7b33a98171670ca7b7cba52361d5f92dec157f13631c7ead0b2cc,882184,"D.R. Horton, Inc.",DHI,Homebuilding,"Arlington, TX",2026-09-18 01:53:53.247129+09
ce3c8427763dc3ed46672eaa14b98a84f9a71db4d3ca33f67a2e205520ee376b,1636222,WINGSTOP INC.,WING,Restaurants,"Dallas, TX",2026-09-18 01:53:53.247129+09
78f1242f09eebb9bb19826b7dba0aac3abd5aa59dfb421c210c795611e2e864a,703351,"BRINKER INTERNATIONAL, INC.",EAT,Restaurants,"Dallas, TX",2026-09-18 01:53:53.247129+09
